"country_id","country_year","country_code","country_name","country_region","country_continent","country_currency","country_capital","birth_rate_per_1000","human_capital_index","labor_force","population_00_14","population_15_64","population_65_up","population_growth_annual_percentage","total_population","suicide_mortality_rate_per_100_000","male_population","poverty_headcount_percentage_of_population","female_population","health_id","health_year","health_country_code","adults_15_plus_living_with_hiv","capital_health_expenditure_percentage_gdp","death_rate_per_100_000","diabetes_prevalence_percentage_population_age_20_to_79","diarrhea_treatment_percentage_children_under_5","hospital_beds_per_1000","immunization_bcg_percentage_1_year_old_children","immunization_dpt_percentage_12_to_23_month_children","immunization_hib3_percentage_12_to_23_month_children","immunization_hepb3_percentage_1_year_old_children","immunization_measles_percentage_12_to_23_month_children","incidence_of_hiv_per_1000_uninfected_population","prevalence_of_overweight_percentage_of_adults","prevalence_of_overweight_percentage_of_children_under_5","prevalence_of_stunting_height_for_age_percentage_of_children_un","prevalence_of_undernourishment_percentage_of_population","development_index"
136,2013,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",36.918,0.30481127,4363647.0,4456695.0,5545825.0,352510.0,2.3586593,10355030.0,3.6,5178650.0,76.4,5176380.0,136,2013,"SSD",140000.0,0.44426802,11.171,-1.0,23.0,-1.0,58.0,53.0,44.2,44.2,58.0,1.39,-1.0,8.45,31.8,-1.0,"underdeveloped"
61,2018,"CAN","Canada","Northern America","North America","CAD","Ottawa",10.1,0.80008996,20396696.0,5882337.0,24795768.0,6387074.0,1.4125481,37065176.0,12.0,18387468.0,-1.0,18677710.0,61,2018,"CAN",-1.0,0.38234833,7.7,8.4,-1.0,2.55,-1.0,91.0,91.0,71.0,90.0,-1.0,61.433334,-1.0,-1.0,2.5,"developed"
7,2012,"IND","India","Southern Asia","Asia","INR","New Delhi",19.923,0.4727689,457753600.0,378832740.0,820295500.0,66652044.0,1.2314849,1265780200.0,14.3,658420350.0,25.849998,607359900.0,7,2012,"IND",-1.0,0.19756314,7.312,9.0,32.1,0.49,90.0,82.0,62.142857,73.0,83.0,0.07,17.5,1.9666667,41.7,15.0,"developing"
70,2011,"MEX","Mexico","Central America","North America","MXN","Mexico City",19.766,0.60518146,49035908.0,33640736.0,74830470.0,7224263.0,1.3947899,115695470.0,5.2,56609424.0,42.9,59086044.0,70,2011,"MEX",240000.0,0.11883423,5.369,15.6,79.9,1.04,99.0,97.0,97.0,98.0,98.0,0.15,62.3,6.66,13.1,4.9,"developing"
114,2007,"NER","Niger","Western Africa","Africa","XOF","Niamey",51.029,0.31657156,5865243.0,7300214.0,7022617.0,362572.0,3.756576,14685404.0,5.3,7322915.0,40.8,7362489.0,114,2007,"NER",35000.0,0.3103279,13.073,4.2,38.4,0.3375,73.0,57.0,77.27273,77.27273,60.0,0.17,17.7,0.3,50.3,-1.0,"underdeveloped"
35,2008,"BRA","Brazil","South America","South America","BRL","Brasilia",15.921,0.5475435,92409810.0,49605068.0,130000190.0,12425104.0,0.99431056,192030370.0,5.1,94798460.0,-1.0,97231896.0,35,2008,"BRA",-1.0,0.8412116,6.017,10.1,-1.0,2.44,99.0,99.0,99.0,96.0,99.0,0.25,51.5,6.4,6.9,5.1,"developing"
95,2020,"USA","United States","Northern America","North America","USD","Washington D.C.",12.846666,0.70176435,163738060.0,60531990.0,214155870.0,54796260.0,0.35091105,329484130.0,13.773334,163034620.0,-1.0,166449500.0,95,2020,"USA",1074000.0,0.6823754,8.264733,9.4,-1.0,2.9876924,-1.0,95.066666,92.0,92.066666,91.666664,0.12100001,64.99167,8.257143,3.2,2.5,"developed"
133,2010,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",38.219,0.30481127,3978888.0,4137881.0,5053892.0,316598.0,3.9265273,9508372.0,3.7,4752499.0,76.4,4755873.0,133,2010,"SSD",120000.0,0.44426802,11.984,-1.0,23.0,-1.0,57.333332,51.444443,44.2,44.2,54.11111,1.41,-1.0,6.0,32.8,-1.0,"underdeveloped"
54,2011,"CAN","Canada","Northern America","North America","CAD","Ottawa",11.0,0.7926785,19147396.0,5636891.0,23739986.0,4962451.0,0.9786978,34339330.0,11.3,17035832.0,-1.0,17303496.0,54,2011,"CAN",-1.0,0.5577083,7.1,8.4,-1.0,2.8,-1.0,87.0,89.0,70.0,88.0,-1.0,61.7,-1.0,-1.0,2.5,"developed"
108,2017,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",35.66,0.2916319,1827814.0,2051951.0,2413931.0,130141.0,1.2774835,4596023.0,14.3,2277876.0,62.0,2318147.0,108,2017,"CAF",86000.0,0.03225806,12.671,3.2,42.25,1.1,74.0,47.0,47.0,47.0,49.0,-1.0,23.358335,2.8333333,41.4,46.1,"underdeveloped"
104,2013,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",37.427,0.2916319,1761090.0,1999096.0,2318195.0,130654.0,0.25964755,4447945.0,14.9,2203461.0,62.0,2244484.0,104,2013,"CAF",98000.0,0.06407364,14.725,3.2,42.25,1.1,37.0,23.0,23.0,23.0,25.0,-1.0,24.6,2.8333333,41.6,40.3,"underdeveloped"
43,2016,"BRA","Brazil","South America","South America","BRL","Brasilia",14.307,0.5475435,99749650.0,45457972.0,143590080.0,17115012.0,0.82375216,206163060.0,6.0,101450190.0,-1.0,104712860.0,43,2016,"BRA",-1.0,0.31721705,6.311,10.1,-1.0,2.11,90.0,89.0,89.0,89.0,95.0,0.23,56.5,6.4,6.1,2.5,"developing"
45,2018,"BRA","Brazil","South America","South America","BRL","Brasilia",13.924,0.54572374,102576160.0,44688336.0,146090380.0,18690608.0,0.78384423,209469310.0,7.0,102996240.0,-1.0,106473080.0,45,2018,"BRA",-1.0,0.3363745,6.452,10.1,-1.0,2.3161538,92.0,87.0,83.0,93.0,92.0,0.23,53.041668,6.4,6.1,2.5,"developing"
63,2020,"CAN","Canada","Northern America","North America","CAD","Ottawa",10.773334,0.7975201,20492684.0,5995422.0,25129210.0,6880606.0,1.0895915,38005240.0,12.006667,18862750.0,-1.0,19142488.0,63,2020,"CAN",-1.0,0.4833245,7.253333,8.4,-1.0,2.7540002,-1.0,91.26667,91.333336,51.533333,90.666664,-1.0,61.433334,-1.0,-1.0,2.5,"developed"
12,2017,"IND","India","Southern Asia","Asia","INR","New Delhi",18.083,0.44,471675700.0,367850980.0,890731260.0,80094550.0,1.0633594,1338676700.0,12.0,695880500.0,25.849998,642796300.0,12,2017,"IND",-1.0,0.2078476,7.21,9.0,32.1,0.53,92.0,89.0,89.0,89.0,90.0,0.05,16.824999,1.6,34.8,13.8,"developing"
64,2005,"MEX","Mexico","Central America","North America","MXN","Mexico City",21.741,0.60518146,42869548.0,33749096.0,66293340.0,5962764.0,1.415817,106005200.0,4.1,51836850.0,42.9,54168350.0,64,2005,"MEX",190000.0,0.12093282,4.792,15.6,79.9,1.05,99.0,98.0,98.0,98.0,96.0,0.15,58.9,6.66,16.4,4.4,"developing"
83,2008,"USA","United States","Northern America","North America","USD","Washington D.C.",14.0,0.71723896,156907790.0,62414796.0,203378190.0,38300984.0,0.9458653,304093950.0,12.7,150129020.0,-1.0,153964930.0,83,2008,"USA",1074000.0,0.7611809,8.1,9.4,-1.0,3.13,-1.0,96.0,91.0,94.0,92.0,0.12100001,63.7,7.4,2.7,2.5,"developed"
